file_name,bend_ratio,velocity,density,size,stokes,max_erosion,avg_erosion_s01
1111.csv,1.5,5,2000,50,0.05451711357615691,2.080291499999999,0.00031516353539747687
1112.csv,1.5,5,2000,100,0.21806845430462765,8.754693,0.0005487258975614936
1113.csv,1.5,5,2000,150,0.49065402218541226,8.754693,0.0015648909159065138
1114.csv,1.5,5,2000,200,0.8722738172185106,8.754693,0.0042176267393487865
1115.csv,1.5,5,2000,300,1.962616088741649,6.295296699999998,0.012380502529300553
1116.csv,1.5,5,2000,500,5.451711357615692,6.815097761194029,0.03680884470774275
1121.csv,1.5,5,5000,50,0.1362927839403923,5.643222299999999,0.0010187846101880494
1122.csv,1.5,5,5000,100,0.5451711357615692,6.729615999999996,0.007773334096509357
1123.csv,1.5,5,5000,150,1.2266350554635306,5.643222299999999,0.025122769156017574
1124.csv,1.5,5,5000,200,2.1806845430462767,5.643222299999999,0.05465057556945964
1125.csv,1.5,5,5000,300,4.906540221854122,8.269389024390241,0.1163490440421302
1126.csv,1.5,5,5000,500,13.62927839403923,8.414258854166665,0.22994037912806942
1131.csv,1.5,5,10000,50,0.2725855678807846,10.122101999999998,0.010138706617968368
1132.csv,1.5,5,10000,100,1.0903422715231383,10.122101999999998,0.06278768202717357
1133.csv,1.5,5,10000,150,2.453270110927061,7.771439199999997,0.1581874908161963
1134.csv,1.5,5,10000,200,4.361369086092553,9.78969068965517,0.2971506793301835
1135.csv,1.5,5,10000,300,9.813080443708245,8.355547703180209,0.5107779844892539
1136.csv,1.5,5,10000,500,27.25855678807846,9.359508112386226,0.7984717964680093
1141.csv,1.5,5,15000,50,0.4088783518211768,6.919486999999999,0.04108439075802189
1142.csv,1.5,5,15000,100,1.6355134072847073,7.439406410256409,0.18953283582792305
1143.csv,1.5,5,15000,150,3.6799051663905913,9.239660519480518,0.44088243346151795
1144.csv,1.5,5,15000,200,6.542053629138829,11.101440366972477,0.741890852638092
1145.csv,1.5,5,15000,300,14.719620665562365,11.309707386363634,1.1259303579081938
1146.csv,1.5,5,15000,500,40.88783518211769,16.742820963541668,1.5486626709476041
1151.csv,1.5,5,30000,50,0.8177567036423536,11.245313999999997,0.30568425678306604
1152.csv,1.5,5,30000,100,3.2710268145694146,12.017211688311688,1.009624510176652
1153.csv,1.5,5,30000,150,7.359810332781183,14.09280221300138,1.7180826826701747
1154.csv,1.5,5,30000,200,13.084107258277658,19.34409873708381,2.296263523934941
1155.csv,1.5,5,30000,300,29.43924133112473,25.007992392223162,2.825277611662101
1156.csv,1.5,5,30000,500,81.77567036423538,29.887722186904007,3.267070850705997
1211.csv,1.5,10,2000,50,0.10903422715231383,23.233716999999984,0.0035990320442962328
1212.csv,1.5,10,2000,100,0.4361369086092553,30.804231999999992,0.02620172883643249
1213.csv,1.5,10,2000,150,0.9813080443708245,37.264435,0.08593331628593312
1214.csv,1.5,10,2000,200,1.7445476344370212,35.692209999999996,0.17932434595885013
1215.csv,1.5,10,2000,300,3.925232177483298,35.692209999999996,0.354324434624375
1216.csv,1.5,10,2000,500,10.903422715231384,38.946323170731695,0.6954102329699281
1221.csv,1.5,10,5000,50,0.2725855678807846,36.918087,0.08140264157568944
1222.csv,1.5,10,5000,100,1.0903422715231383,37.05352999999999,0.39321371328788446
1223.csv,1.5,10,5000,150,2.453270110927061,37.05352999999999,0.8471341970169431
1224.csv,1.5,10,5000,200,4.361369086092553,37.05352999999999,1.4279371955517741
1225.csv,1.5,10,5000,300,9.813080443708245,39.150380952380935,2.3758156328474014
1226.csv,1.5,10,5000,500,27.25855678807846,36.95719,3.8103494749220155
1231.csv,1.5,10,10000,50,0.5451711357615692,44.38856999999999,0.5278497766623982
1232.csv,1.5,10,10000,100,2.1806845430462767,44.38856999999999,1.6622930335744202
1233.csv,1.5,10,10000,150,4.906540221854122,48.028297101449276,3.2502540750103006
1234.csv,1.5,10,10000,200,8.722738172185107,50.39906861313868,4.959559090891119
1235.csv,1.5,10,10000,300,19.62616088741649,56.61466161594905,7.116452037050939
1236.csv,1.5,10,10000,500,54.51711357615692,80.62769827586207,9.63750361712168
1241.csv,1.5,10,15000,50,0.8177567036423536,38.62122299999999,1.1323217274598865
1242.csv,1.5,10,15000,100,3.2710268145694146,47.43204819277108,3.2806454476684044
1243.csv,1.5,10,15000,150,7.359810332781183,66.46332949371542,5.834000074972431
1244.csv,1.5,10,15000,200,13.084107258277658,66.58005688585202,8.177611303271608
1245.csv,1.5,10,15000,300,29.43924133112473,86.67362442728385,10.720987356080128
1246.csv,1.5,10,15000,500,81.77567036423538,112.30281296023564,13.315531129875694
1251.csv,1.5,10,30000,50,1.6355134072847073,54.804219999999994,3.3635909476651187
1252.csv,1.5,10,30000,100,6.542053629138829,59.017862976017405,8.127008180044417
1253.csv,1.5,10,30000,150,14.719620665562365,96.65339908952957,11.865312099420164
1254.csv,1.5,10,30000,200,26.168214516555317,118.62095294117645,14.631312274086204
1255.csv,1.5,10,30000,300,58.87848266224946,136.938166539343,17.055661169228028
1256.csv,1.5,10,30000,500,163.55134072847076,155.27522743177047,19.102537232408555
1311.csv,1.5,15,2000,50,0.16355134072847075,67.22027,0.045778069345757205
1312.csv,1.5,15,2000,100,0.654205362913883,130.83971999999997,0.2944540905821243
1313.csv,1.5,15,2000,150,1.4719620665562367,84.59907999999997,0.6875912828863688
1314.csv,1.5,15,2000,200,2.616821451655532,84.59907999999997,1.1703382301703686
1315.csv,1.5,15,2000,300,5.887848266224947,67.35771999999996,1.9349614336496617
1316.csv,1.5,15,2000,500,16.355134072847076,120.96611330049258,3.2570438339862138
1321.csv,1.5,15,5000,50,0.4088783518211768,108.22977399999999,0.26713616032347964
1322.csv,1.5,15,5000,100,1.6355134072847073,72.03060999999995,1.157587788498663
1323.csv,1.5,15,5000,150,3.6799051663905913,86.05562599999999,2.5211933203205605
1324.csv,1.5,15,5000,200,6.542053629138829,95.78717078699547,4.219085244111945
1325.csv,1.5,15,5000,300,14.719620665562365,102.43396238563817,6.826347867236371
1326.csv,1.5,15,5000,500,40.88783518211769,83.45527791952935,10.77983692033529
1331.csv,1.5,15,10000,50,0.8177567036423536,72.65545999999996,0.8833162112958911
1332.csv,1.5,15,10000,100,3.2710268145694146,72.65545999999996,3.249494716802362
1333.csv,1.5,15,10000,150,7.359810332781183,89.92884057801258,6.733963421643709
1334.csv,1.5,15,10000,200,13.084107258277658,102.77886278485667,10.577627582279788
1335.csv,1.5,15,10000,300,29.43924133112473,123.09503625777468,15.355752092906442
1336.csv,1.5,15,10000,500,81.77567036423538,171.52841162171794,21.01476002946328
1341.csv,1.5,15,15000,50,1.2266350554635306,73.87355455760168,1.5677660234846653
1342.csv,1.5,15,15000,100,4.906540221854122,96.22842959591188,5.629556062426573
1343.csv,1.5,15,15000,150,11.039715499171775,135.83618229321425,10.883604806238905
1344.csv,1.5,15,15000,200,19.62616088741649,124.24952619878351,16.015199627542074
1345.csv,1.5,15,15000,300,44.1588619966871,175.86646669508502,21.621187956851294
1346.csv,1.5,15,15000,500,122.66350554635305,228.16263781672532,27.481177559631995
1351.csv,1.5,15,30000,50,2.453270110927061,93.43053,4.0468715558323725
1352.csv,1.5,15,30000,100,9.813080443708245,109.64879967621343,12.555785626523017
1353.csv,1.5,15,30000,150,22.07943099834355,177.7955373763188,20.55131634988216
1354.csv,1.5,15,30000,200,39.25232177483298,235.16391501177935,27.112871629886303
